,city,Year,date_start,month,maxt,mint,rain,soil,cases,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9
21,delhi,2011,30-09-2011,9,33.47800446,23.98345184,6.753333569,64.57646179,179,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,0,0.212903231,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737,40.781147,42.40348053
22,delhi,2011,30-10-2011,10,34.69514847,18.54470634,0,44.20064926,512,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,0,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,0,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737,40.781147
23,delhi,2011,30-11-2011,11,30.9201088,14.45142937,0,42.46109772,328,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,0,0,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737
24,delhi,2011,30-12-2011,12,24.66457558,7.706675053,0.035483871,41.18297577,46,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,0.035483871,0,0,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183
25,delhi,2012,30-01-2012,1,19.40680885,6.871914387,0.180645168,43.77926636,0,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,0.180645168,0.035483871,0,0,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223
26,delhi,2012,28-02-2012,2,23.81861496,8.932437897,0,22.91506958,0,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,26.99129486,0,0.180645168,0.035483871,0,0,6.753333569,4.987096786,4.153333187,3.022580624,1.164516091,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,41.62171173,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317,30.88653564
27,delhi,2012,30-03-2012,3,30.66801262,13.89055634,0.467741936,15.98955917,0,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,28.1246624,0.467741936,0,0.180645168,0.035483871,0,0,6.753333569,4.987096786,4.153333187,3.022580624,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,39.69683075,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115,44.23478317
28,delhi,2012,30-04-2012,4,36.04097366,20.55291367,0.600000024,24.22035599,2,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,27.08724213,0.600000024,0.467741936,0,0.180645168,0.035483871,0,0,6.753333569,4.987096786,4.153333187,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,36.88867188,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193,59.41833115
29,delhi,2012,30-05-2012,5,41.09652328,24.9432106,0.312903225,20.59944916,0,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,26.07185364,0.312903225,0.600000024,0.467741936,0,0.180645168,0.035483871,0,0,6.753333569,4.987096786,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,34.47864914,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179,62.40732193
30,delhi,2012,30-06-2012,6,41.77784348,28.41674423,0.009677419,32.54781723,3,28.41674423,24.9432106,20.55291367,13.89055634,8.932437897,6.871914387,7.706675053,14.45142937,18.54470634,23.98345184,0.009677419,0.312903225,0.600000024,0.467741936,0,0.180645168,0.035483871,0,0,6.753333569,41.77784348,41.09652328,36.04097366,30.66801262,23.81861496,19.40680885,24.66457558,30.9201088,34.69514847,33.47800446,32.54781723,20.59944916,24.22035599,15.98955917,22.91506958,43.77926636,41.18297577,42.46109772,44.20064926,64.57646179
